번호,등록번호,서명,저자,서명권차,총서명,저자기호,별치기호,분류기호,청구권차,복본기호,ISBN,딸림자료,출판사,출판년도,발행지,페이지,크기,가격,등록일
1506,LHCGSL01506,대한민국 수립과 국제법,정인섭,,,정68ㄷ,,361,,,9791130347226,,박영사,2024,서울:,476 p.:,23 cm,\32000,구매
1507,LHCGSL01507,"개념전쟁  : 아시아에서 인도-태평양까지,  강대국의 공간 지배 전략과 한국의 선택",손열 지음,,,손64ㄱ,,349,,,9791166176937,,EAI(동아시아연구원),2023,서울:,367 p.:,21 cm,\24000,구매
1508,LHCGSL01508,ChatGPT 업무·비즈니스 활용 전략  : chatGPT를 잘 활용하는 사람이 활용하지 않는 사람을 대체한다!  : chatGPT 100배 활용하기,정종기 지음,,,정75ㅇ,,004.73,,,9791191950465,,형설elife :형설이엠제이,2023,서울:,379 p.:,24 cm,\20000,구매
1509,LHCGSL01509,고령사회의 법적 과제,"전종익,김도균,정긍식,강광문,이동진,이계정",,서울법대 법학총서,서66,,334.6,16,,9791130344973,,박영사,2023,서울:,348 p.:,23 cm,\28000,구매
1510,LHCGSL01510,"재물론석 = ,(The) translation and annotation of Zhang Taiyan's 'Qi wy lun Shi'","장타이옌 저,김영주 역주",,,장882ㅈ,,152,792,,9791166842443,,세창출판사,2023,서울:,474p.:,24cm,\37000,구매
1511,LHCGSL01511,"(인물로 만나는) 전기법칙과 단위  = ,Journey for laws of electricity & electrical units",김기식 편저,,,김18ㅈ,,427,,,9788973743995,,기다리,2024,서울:,367 p.:,23 cm,\29000,구매
1512,LHCGSL01512,"빌둥에서 배운다  : 북유럽 교육 혁신,  개인과 공동체가 함께 성장하는 미래","레네 레이첼 안데르센 지음,이원준 옮김",,,레194ㅂ,,370.1,,,9791155505984,,성균관대학교 출판부,2023,서울:,231 p.:,23 cm,\17000,구매
1513,LHCGSL01513,"유전자 스위치  = ,The gene switch  : 최신 과학으로 읽는 후성유전의 신비",장연규 지음,,,장64ㅇ,,476.10733,,,9791198356642,,히포크라테스,2023,서울:,283 p.:,21 cm,\18500,구매
1514,LHCGSL01514,현당극담 읽기,"김동현,김재석 편저",,,김25ㅎ,,684.01,,,9788957868850,,연극과인간,2024,서울:,359 p.:,24 cm,\23000,구매
1515,LHCGSL01515,전자음악 아카이브  : 사운드 엔지니어가 들려주는 전자음악 이야기,채진욱 지음,,,채78ㅈ,,676.7,,,9791198139429,,SMRC 소리장이들(에스엠알씨),2023,성남:,200 p.:,23 cm,\25000,구매
1516,LHCGSL01516,스피노자의 형이상학  : 역량과 합리성,김은주 지음,,,김67ㅅ,,166.2,,,9788937446009,,민음사,2024,서울:,405 p.:,23 cm,\33000,구매
1517,LHCGSL01517,"전문가가 본 일본 과학기술의 흐름  = ,Science & technology in Japan",김해곤 지음,,,김93ㅈ,,409.13,,,9791139218046,,지식과감성#,2024,서울:,321 p.:,23 cm,\19800,구매
1518,LHCGSL01518,판소리 이면(裏面)으로 보는 동초제 흥보가,김예진 지음,,,김64ㅍ,,679.312,,,9791197777486,,토일렛프레스,2024,서울:,160 p.:,23 cm,\22000,구매
