번호,등록번호,서명,저자,서명권차,총서명,저자기호,별치기호,분류기호,청구권차,복본기호,ISBN,딸림자료,출판사,출판년도,발행지,페이지,크기,가격,등록일
1,LHCGSL00001,12가지 인생의 법칙,조던 B. 피터슨 지음,,,피884ㅇ,,199.1,,,9791190538534,,Maven(메이븐),2023,,559 p,23 cm,18200,구매
2,LHCGSL00002,130층 나무 집,앤디 그리피스 글,,,그298ㅂ,아,843.6,,,9791165794811,,시공주니어,2020,,324 p,20 cm,14000,구매
3,LHCGSL00003,143층 나무 집,앤디 그리피스 글,,,그298ㅂ,아,843.6,,,9791165799052,,시공주니어,2022,,304 p,20 cm,14000,구매
4,LHCGSL00004,1cm 다이빙,태수,,,태56ㅇ,,818,,,9791190299060,,피카(FIKA),2020,,248 p,19 cm,13500,구매
5,LHCGSL00005,"(1일 1페이지,)세상에서 가장 짧은 교양 수업 365",데이비드 S. 키더,,,키24ㅅ,,990,,,9791190908061,,위즈덤하우스,2020,,380 p,22 cm,16000,구매
6,LHCGSL00006,40대 인생이 바뀌는 공부,이대형 지음,,,이23ㅅ,,325.211,,,9791165457303,,바른북스,2022,,224 p,21 cm,15000,구매
7,LHCGSL00007,40일간의 남미 일주,최민석 지음,,,최38ㅅ,,985.02,,,9788965749479,,해냄,2020,,420 p,19 cm,17000,구매
8,LHCGSL00008,7년의 밤,정유정 지음,,,정66ㅊ,,813.7,,,9788956604992,,은행나무,2011,,523 p,21 cm,14500,구매
9,LHCGSL00009,82년생 김지영,조남주 지음,,,조192ㅍ,,813.7,,,9788937473135,,민음사,2016,,190 p,20 cm,14000,구매
10,LHCGSL00010,H마트에서 울다,미셸 자우너 지음,,,자66ㅇ,,848,,,9788954683371,,문학동네,2022,,407 p,20 cm,16000,구매
11,LHCGSL00011,가녀장의 시대,이슬아 지음,,,이57ㄱ,,813.7,,,9788954688796,,이야기장수,2022,,316 p,20 cm,15000,구매
12,LHCGSL00012,가장 좋은 것을 너에게 줄게,정여울 글,,,정64ㄱ,,814.7,,,9788954687577,,이야기장수,2022,,340 p,20 cm,16000,구매
13,LHCGSL00013,가재가 노래하는 곳,델리아 오언스 지음,,,오64ㄱ,,843.6,,,9788952240569,,살림,2019,,459 p,21 cm,16000,구매
14,LHCGSL00014,가치란 무엇인가,짐 월리스 지음,,,월298ㄱ,,235.83,,,9788932812380,,IVP(한국기독학생회출판부),2011,,294 p,22 cm,14000,구매
15,LHCGSL00015,감정 어휘,유선경 지음,,,유54ㄱ,,181.73,,,9791190710411,,앤의서재,2022,,280 p,20 cm,16000,구매
16,LHCGSL00016,강원국의 결국은 말입니다,강원국 지음,,,강66ㄱ,,802.56,,,9791186920015,,더클,2022,,258 p,20 cm,17000,구매
17,LHCGSL00017,(강원국의)어른답게 말합니다,강원국 지음,,,강66ㅇ,,802.56,,,9788901250014,,웅진지식하우스(웅진씽크빅),2021,,271 p,20 cm,16000,구매
18,LHCGSL00018,개인주의자 선언,문유석 지음,,,문66ㄱ,,304,,,9788954637756,,문학동네,2015,,279 p,21 cm,15000,구매
19,LHCGSL00019,(거꾸로 읽는)세계사,유시민 지음,,,유58ㅅ,,909,,,9791191438406,,돌베개,2021,,404 p,22 cm,17500,구매
20,LHCGSL00020,거미여인의 키스,마누엘 푸익 지음,,,세14ㅁ,,808,37,,9788937460371,,민음사,2011,,396 p,23 cm,13000,구매
21,LHCGSL00021,겁이 나는 건 당연해,이은서 글,,,이67ㄱ,아,813.8,,,9791158363505,,책읽는곰,2022,,[40] p,28 cm,14000,구매
22,LHCGSL00022,계절 산문,박준 지음,,,박76ㄱ,,814.7,,,9791158161439,,달,2021,,184 p,19 cm,14800,구매
23,LHCGSL00023,고도를 기다리며,사뮈엘 베케트 지음,,,세14ㅁ,,808,43,,9788937460432,,민음사,2010,,175 p,23 cm,9000,구매
24,LHCGSL00024,고르고 고른 말,홍인혜 지음,,,홍68ㄱ,,818,,,9791191248432,,미디어창비,2021,,313 p,20 cm,16000,구매
25,LHCGSL00025,고리오 영감,오노레 드 발자크 지음,,,세14ㅁ,,808,18,,9788937460180,,민음사,2011,,419 p,23 cm,10000,구매
26,LHCGSL00026,고백,박성원 지음,,,박54ㄱ,,813.7,,,9788972757436,,현대문학,2015,,283 p,21 cm,13000,구매
27,LHCGSL00027,"곰돌이 푸, 행복한 일은 매일 있어",곰돌이 푸 원작,,,곰25ㄱ,,848,,,9788925563350,,RHK(알에이치코리아),2018,,153 p,19 cm,14800,구매
28,LHCGSL00028,공간이 만든 공간,유현준 지음,,,유94ㄱ,,540.04,,,9788932474274,,을유문화사,2020,,415 p,20 cm,16500,구매
29,LHCGSL00029,공부머리 독서법,최승필 지음,,,최57ㄱ,,029.8,,,9791196316808,,책구루,2018,,343 p,23 cm,16500,구매
30,LHCGSL00030,관계를 읽는 시간,문요한 지음,,,문65ㄱ,,189.2,,,9791160505801,,더퀘스트(길벗),2018,,319 p,21 cm,16000,구매
31,LHCGSL00031,관점을 디자인하라,박용후 지음,,,박65ㄱ,,325.211,,,9788965706830,,쌤앤파커스,2018,,295 p,24 cm,16000,구매
32,LHCGSL00032,교실이 없는 시대가 온다,존 카우치,,,카66ㄱ,,373,,,9791190030434,,어크로스,2020,,310 p,22 cm,15000,구매
33,LHCGSL00033,"그날 아침, 여행이 시작되었습니다",바루 지음,,,바296ㄱ,아,863,,,9788992351942,,여유당,2021,,40 p,33 cm,14000,구매
34,LHCGSL00034,그냥 하지 말라,송길영 지음,,,송18ㄱ,,321.97,,,9791191211467,,북스톤,2021,,282 p,20 cm,17000,구매
35,LHCGSL00035,그리고 아무도 없었다,애거서 크리스티 지음,,,크298ㄱ,,843.5,,,9788938201010,,해문,2011,,268 p,22 cm,12000,구매
36,LHCGSL00036,그리스인 조르바,니코스 카잔차키스 지음,,,카72ㄱ,,892.1,,,9788932909349,,열린책들,2013,,480 p,19 cm,14800,구매
37,LHCGSL00037,기다릴게 기다려 줘,이적 글,,,이74ㄱ,아,813.8,,,9788901228051,,웅진주니어(웅진씽크빅),2018,,[39] p,28 cm,13000,구매
38,LHCGSL00038,기록하기로 했습니다,김신지 지음,,,김58ㄱ,,814.7,,,9791160805390,,휴머니스트,2021,,216 p,20 cm,14000,구매
39,LHCGSL00039,기분 가게,도키 나쓰키 글·그림,,,도878ㄱ,아,833.8,,,9788934967286,,주니어김영사,2022,,[28] p,23 cm,13000,구매
40,LHCGSL00040,기분이 태도가 되지 않게,레몬심리 지음,,,레35ㄱ,,181.7,,,9788901243658,,갤리온(웅진씽크빅),2020,,194 p,20 cm,14000,구매
41,LHCGSL00041,기억 전달자,로이스 로리 지음,,,로298ㄱ,,843.5,,,9788949123554,,비룡소,2024,,340 p,21 cm,16000,구매
42,LHCGSL00042,기억.1,베르나르 베르베르 지음,,,베297ㄱ,,863,1,,9788932920337,,열린책들,2020,,397 p,20 cm,16800,구매
43,LHCGSL00043,기억.2,베르나르 베르베르 지음,,,베297ㄱ,,863,2,,9788932920344,,열린책들,2020,,400 p,19 cm,16800,구매
44,LHCGSL00044,기억을 넘어 너에게 갈게,양은애 지음,,,양67ㄱ,,813.7,,,9791192603162,,토마토,2022,,236 p,21 cm,13000,구매
45,LHCGSL00045,긴급 출동! 공룡구급대,페니 데일 글·그림,,,데68ㄱ,아,843.6,,,9791166370748,,사파리(이퍼블릭),2021,,[32] p,29 cm,12000,구매
46,LHCGSL00046,긴긴밤,루리 글·그림,,,루298ㄱ,아,813.8,,,9788954677158,,문학동네,2021,,144 p,22 cm,11500,구매
47,LHCGSL00047,(이미 늦었다고 생각하는 당신을 위한)김미경의 마흔 수업,김미경 지음,,,김38ㄱ,,325.211,,,9791198013064,,어웨이크북스,2023,,373 p,21 cm,19500,구매
48,LHCGSL00048,김영란의 열린 법 이야기,김영란 글,,,김64ㄱ,,360,,,9788974747817,,풀빛,2016,,279 p,22 cm,15000,구매
49,LHCGSL00049,까대기,이종철 만화,,,이75ㄲ,,818,,,9791163140399,,보리,2019,,283 p,23 cm,15000,구매
50,LHCGSL00050,꽃 속에는 뭐가 있을까?,레이철 이그노토프스키 글·그림,,,이17ㄲ,아,480.4,,,9788959984572,,달리,2022,,[40] p,27 cm,15000,구매
51,LHCGSL00051,꽃들에게 희망을,트리나 폴러스 글·그림,,,폴294ㄲ,아,843.6,,,9788952783509,,시공주니어,2017,,160 p,23 cm,12000,구매
52,LHCGSL00052,꽃샘바람에 흔들린다면 너는 꽃,류시화 지음,,,류58ㄲ,,811.7,,,9791190382618,,수오서재,2022,,156 p,21 cm,13500,구매
53,LHCGSL00053,꽃을 보듯 너를 본다,나태주 지음,,,나883ㄲ,,811.7,,,9791157280292,,지혜,2015,,184 p,22 cm,11000,구매
54,LHCGSL00054,꽃이 지고 나면 잎이 보이듯이,이해인 쓰고,,,이93ㄲ,,814.7,,,9788946418035,,샘터,2011,,282 p,21 cm,13000,구매
55,LHCGSL00055,"꿈은 없고요, 그냥 성공하고 싶습니다",홍민지 지음,,,홍38ㄲ,,325.211,,,9791130681276,,다산북스,2022,,212 p,21 cm,15000,구매
56,LHCGSL00056,나는 나무처럼 살고 싶다,우종영 지음,,,우75ㄴ,,199.1,,,9791190538268,,메이븐,2021,,302 p,21 cm,16000,구매
57,LHCGSL00057,나는 오래된 거리처럼 너를 사랑하고,진은영 지음,,,진67ㄴ,,811.7,,,9788932040448,,문학과지성사,2022,,140 p,21 cm,12000,구매
58,LHCGSL00058,나는 지하철입니다,김효은 글·그림,,,김95ㄴ,아,813.8,,,9788954642491,,문학동네,2016,,60 p,24x26 cm,14500,구매
59,LHCGSL00059,나답게 살고 있습니다,마스다 미리 지음,,,마57ㄴ,,838,,,9791190582278,,이봄(문학동네),2020,,176 p,21 cm,13000,구매
60,LHCGSL00060,나를 부르는 숲,빌 브라이슨 지음,,,브292ㄴ,,984.202,,,9788972916529,,까치글방,2018,,399 p,22 cm,13500,구매
61,LHCGSL00061,나무,베르나르 베르베르 지음,,,베297ㄴ,,863,,,9788932907871,,열린책들,2013,,309 p,20 cm,15800,구매
62,LHCGSL00062,나무 수업,페터 볼레벤 지음,,,볼294ㄴ,,485.16,,,9791186940075,,이마,2016,,305 p,21 cm,13500,구매
63,LHCGSL00063,나미야 잡화점의 기적,히가시노 게이고 지음,,,히12ㄴ,,833.6,,,9791167901484,,현대문학,2022,,455 p,20 cm,14500,구매
64,LHCGSL00064,나에게 고맙다,전승환 지음,,,전57ㄴ,,814.7,,,9791191891072,,북로망스,2022,,287 p,19 cm,16000,구매
65,LHCGSL00065,나에게 시간을 주기로 했다,오리여인 지음,,,오298ㄴ,,818,,,9791190382182,,수오서재,2020,,268 p,19 cm,13800,구매
66,LHCGSL00066,나의 문화유산답사기.11,유홍준 지음,,,유95ㄴ,,981.1,11,,9788936479190,,창비,2022,,352 p,23 cm,22000,구매
67,LHCGSL00067,나의 문화유산답사기.1,유홍준 지음,,,유95ㄴ,,981.1,1,,9788936472016,,창비,2011,,454 p,23 cm,18000,구매
68,LHCGSL00068,나의 문화유산답사기.2,유홍준 지음,,,유95ㄴ,,981.1,2,,9788936472023,,창비,2011,,446 p,23 cm,18000,구매
69,LHCGSL00069,나의 문화유산답사기.3,유홍준 지음,,,유95ㄴ,,981.1,3,,9788936472030,,창비,2011,,434 p,23 cm,18000,구매
70,LHCGSL00070,나의 문화유산답사기.4,유홍준 지음,,,유95ㄴ,,981.1,4,,9788936472047,,창비,2011,,365 p,23 cm,18000,구매
71,LHCGSL00071,나의 문화유산답사기.5,유홍준 지음,,,유95ㄴ,,981.1,5,,9788936472054,,창비,2011,,384 p,23 cm,18000,구매
72,LHCGSL00072,나의 문화유산답사기.6,유홍준 지음,,,유95ㄴ,,981.1,6,,9788936472061,,창비,2011,,452 p,23 cm,18000,구매
73,LHCGSL00073,나의 문화유산답사기.7,유홍준 지음,,,유95ㄴ,,981.1,7,,9788936472184,,창비,2012,,472 p,23 cm,20000,구매
74,LHCGSL00074,나의 문화유산답사기.8,유홍준 지음,,,유95ㄴ,,981.1,8,,9788936472696,,창비,2015,,336 p,23 cm,18000,구매
75,LHCGSL00075,나의 문화유산답사기.9,유홍준 지음,,,유95ㄴ,,981.1,9,,9788936474393,,창비,2017,,416 p,23 cm,20000,구매
76,LHCGSL00076,나의 문화유산답사기.10,유홍준 지음,,,유95ㄴ,,981.1,10,,9788936474409,,창비,2017,,481 p,23 cm,20000,구매
77,LHCGSL00077,나의 문화유산답사기.12,유홍준 지음,,,유95ㄴ,,981.1,12,,9788936479206,,창비,2022,,364 p,23 cm,22000,구매
78,LHCGSL00078,나의 미카엘,아모스 오즈 [지음],,,세14ㅁ,,808,15,,9788937460159,,민음사,2011,,304 p,23 cm,12000,구매
79,LHCGSL00079,"나의 산티아고, 혼자이면서 함께 걷는 길",김희경 지음,,,김97ㄴ,,816.7,,,9788971848128,,푸른숲,2009,,300 p,21 cm,15000,구매
80,LHCGSL00080,나의 첫 생명 수업,홍명진 지음,,,홍34ㄴ,,190,,,9788958078494,,뜨인돌,2021,,204 p,21 cm,14000,구매
81,LHCGSL00081,나의 하루는 4시 30분에 시작된다,김유진 지음,,,김66ㄴ,,325.211,,,9791158511906,,토네이도,2020,,256 p,20 cm,15000,구매
82,LHCGSL00082,난장이가 쏘아올린 작은 공,조세희 지음,,,조54ㄴ,,813.6,,,9788995151228,,이성과힘,2024,,416 p,21 cm,15500,구매
83,LHCGSL00083,(난생 처음 한번 들어보는)클래식 수업.1,민은기 지음,,,민67ㅋ,,670.15,1,,9791162730256,,사회평론,2018,,363 p,23 cm,18000,구매
84,LHCGSL00084,(난생 처음 한번 들어보는)클래식 수업.2,민은기 지음,,,민67ㅋ,,670.15,2,,9791162730263,,사회평론,2019,,291 p,23 cm,17000,구매
85,LHCGSL00085,남한산성,김훈 지음,,,김96ㄴ,,813.7,,,9788956253534,,학고재,2017,,447 p,21 cm,16000,구매
86,LHCGSL00086,내 문제가 아닌데 내가 죽겠습니다,유드 세메리아 지음,,,세34ㄴ,,182.1,,,9788965135937,,아름다운사람들,2020,,327 p,21 cm,15000,구매
87,LHCGSL00087,내 영혼이 따뜻했던 날들,포리스터 카터 지음,,,카884ㄴ,,843.5,,,9788955824957,,아름드리미디어,2014,,382 p,20 cm,15000,구매
88,LHCGSL00088,내가 말하고 있잖아,정용준 지음,,,정65ㄴ,,813.7,,,9788937473289,,민음사,2020,,172 p,20 cm,14000,구매
89,LHCGSL00089,내가 틀릴 수도 있습니다,비욘 나티코 린데블라드 지음,,,린24ㄴ,,220.4,,,9791130689890,,다산초당(다산북스),2022,,311 p,21 cm,20000,구매
90,LHCGSL00090,내게 무해한 사람,최은영 지음,,,최67ㄴ,,813.7,,,9788954651820,,문학동네,2018,,325 p,21 cm,14500,구매
91,LHCGSL00091,내일의 부.1,조던 김장섭 지음,,,김72ㄴ,,327.04,1,,9791187993681,,트러스트북스,2020,,308 p,23 cm,16000,구매
92,LHCGSL00092,내일의 부.2,조던 김장섭 지음,,,김72ㄴ,,327.04,2,,9791187993698,,트러스트북스,2020,,308 p,23 cm,16000,구매
93,LHCGSL00093,너만 모르는 진실,김하연 지음,,,김92ㄴ,,813.7,,,9791167030580,,특별한서재,2022,,192 p,21 cm,12000,구매
94,LHCGSL00094,나사니엘 호손 단편선,나사니엘 호손 지음,,,세14ㅁ,,808,14,,9788937460142,,민음사,2018,,340 p,23 cm,14000,구매
95,LHCGSL00095,너의 숲이 되어줄게,애뽈 지음,,,애45ㄴ,,818,,,9791187798170,,박하(시드앤피드),2017,,221 p,21 cm,13800,구매
96,LHCGSL00096,노르웨이의 숲,무라카미 하루키 지음,,,무292ㄴ,,833.6,,,9788937434488,,민음사,2017,,572 p,19 cm,17000,구매
97,LHCGSL00097,농담,밀란 쿤데라 지음,,,세14ㅁ,,808,29,,9788937460296,,민음사,2011,,432 p,23 cm,14000,구매
98,LHCGSL00098,눈물 한 방울,이어령 지음,,,이64ㄴ,,818,,,9788934961574,,김영사,2022,,199 p,22 cm,15800,구매
99,LHCGSL00099,눈물도 빛을 만나면 반짝인다,김영서 지음,,,김64ㄴ,,334.227,,,9791155311141,,이매진,2020,,255 p,20 cm,14000,구매
100,LHCGSL00100,눈아이,안녕달 지음,,,안194ㄴ,아,813.8,,,9788936455736,,창비,2021,,96 p,26 cm,15000,구매
101,LHCGSL00101,느낌의 공동체,신형철 지음,,,신94ㄴ,,814.7,,,9788954614511,,문학동네,2011,,406 p,23 cm,16000,구매
102,LHCGSL00102,다산의 마지막 질문,조윤제 지음,,,조66ㄷ,,151.58,,,9788935214440,,청림,2023,,352 p,23 cm,18000,구매
103,LHCGSL00103,다섯째 아이,도리스 레싱 지음,,,세14ㅁ,,808,27,,9788937460272,,민음사,2010,,193 p,23 cm,10000,구매
104,LHCGSL00104,다정소감,김혼비 지음,,,김95ㄷ,,814.7,,,9791197504136,,안온북스,2021,,228 p,19 cm,15000,구매
105,LHCGSL00105,달과 6펜스,서머싯 몸 지음,,,세14ㅁ,,808,38,,9788937460388,,민음사,2000,,327 p,23 cm,10000,구매
106,LHCGSL00106,달러구트 꿈 백화점,이미예 지음,,,이38ㄷ,,813.7,1,,9791165341909,,팩토리나인,2020,,300 p,20 cm,13800,구매
107,LHCGSL00107,달러구트 꿈 백화점.2,이미예 지음,,,이38ㄷ,,813.7,2,,9791165343729,,팩토리나인,2021,,308 p,20 cm,13800,구매
108,LHCGSL00108,달리기를 말할 때 내가 하고 싶은 이야기,무라카미 하루키 지음,,,무292ㄷ,,834,,,9788970128337,,문학사상,2009,,277 p,20 cm,14500,구매
109,LHCGSL00109,당신 인생의 이야기,테드 창 지음,,,창884ㄷ,,843.6,,,9788956057842,,엘리,2016,,447 p,22 cm,14500,구매
110,LHCGSL00110,당신도 느리게 나이 들 수 있습니다,정희원 지음,,,정97ㄷ,,511.1687,,,9791140702589,,더퀘스트(길벗),2023,,279 p,21 cm,17800,구매
111,LHCGSL00111,당신은 그때 최선을 다했다,한경은 [지음],,,한14ㄷ,,802,,,9791190382748,,수오서재,2022,,288 p,20 cm,16000,구매
112,LHCGSL00112,당신의 이름을 지어다가 며칠은 먹었다,박준 지음,,,박76ㄷ,,811.7,,,9788954619578,,문학동네,2012,,144 p,23 cm,10000,구매
113,LHCGSL00113,당신이 꽃같이 돌아오면 좋겠다,고재욱 지음,,,고73ㄷ,,818,,,9788901242668,,웅진지식하우스,2020,,328 p,24 cm,16000,구매
114,LHCGSL00114,당신이 옳다,정혜신 지음,,,정94ㄷ,,189.1,,,9788965746669,,해냄,2018,,316 p,22 cm,17500,구매
115,LHCGSL00115,당신이 잘되면 좋겠습니다,김민섭 지음,,,김38ㄷ,,818,,,9791165700690,,창비교육,2021,,271 p,19 cm,16500,구매
116,LHCGSL00116,(당황하지 않고 웃으면서)아들 성교육 하는 법,손경이 지음,,,손14ㅇ,,598.55,,,9791130616322,,다산에듀(다산북스),2018,,259 p,21 cm,14000,구매
117,LHCGSL00117,(대한독립군 총사령관)홍범도 평전,김삼웅 지음,,,김52ㅎ,,911.063,,,9791187705161,,레드우드,2019,,284 p,23 cm,16000,구매
118,LHCGSL00118,(더 넓고 더 깊게)십진분류 독서법,장대은,,,장23ㅅ,,029.4,,,9788935212354,,청림,2018,,304 p,23 cm,15500,구매
119,LHCGSL00119,더 해빙,이서윤,,,이54ㄷ,,325.211,,,9791190382175,,수오서재,2020,,344 p,21 cm,17700,구매
120,LHCGSL00120,데미안,헤르만 헤세 지음,,,세14ㅁ,,808,44,,9788937460449,,민음사,2000,,239 p,23 cm,8000,구매
121,LHCGSL00121,(데일 카네기)인간관계론,데일 카네기 지음,,,카194ㅇ,,331.18,,,9791187142560,,현대지성,2019,,352 p,23 cm,11500,구매
122,LHCGSL00122,"도망가자, 깨끗한 집으로",신우리 지음,,,신66ㄷ,,199.1,,,9791191439083,,멀리깊이,2021,,288 p,21 cm,15000,구매
123,LHCGSL00123,도서관 옆 철학카페,안광복 지음,,,안15ㄷ,,104,,,9788997379576,,어크로스,2014,,299 p,21 cm,14000,구매
124,LHCGSL00124,(도슨트 정우철의)미술 극장,정우철 지음,,,정66ㅁ,,650.4,,,9788954758246,,EBS Books(한국교육방송공사),2021,,320 p,21 cm,17000,구매
125,LHCGSL00125,"도시, 청년, 호러",이시우 외 지음,,,이58ㄷ,,813.7,,,9791191193534,,안전가옥,2022,,248 p,21 cm,13000,구매
126,LHCGSL00126,독일어 시간.1,지그프리트 렌츠 지음,,,세14ㅁ,,808,40,,9788937460401,,민음사,2011,,311 p,23 cm,12000,구매
127,LHCGSL00127,독일어 시간.2,지그프리트 렌츠 지음,,,세14ㅁ,,808,41,,9788937460418,,민음사,2018,,323 p,23 cm,10000,구매
128,LHCGSL00128,"돈, 뜨겁게 사랑하고 차갑게 다루어라",앙드레 코스톨라니 지음,,,코57ㄷ,,327.856,,,9791192519883,,미래의창,2023,,312 p,21 cm,12000,구매
129,LHCGSL00129,돈의 역사는 되풀이된다,홍춘욱 지음,,,홍85ㄷ,,327.04,,,9791191393163,,포르체,2021,,276 p,22 cm,16000,구매
130,LHCGSL00130,동물농장,조지 오웰 지음,,,세14ㅁ,,808,5,,9788937460050,,민음사,1998,,160 p,23 cm,8000,구매
131,LHCGSL00131,두근두근 내 인생,김애란 지음,,,김63ㄷ,,813.7,,,9788936433871,,창비,2011,,354 p,21 cm,14000,구매
132,LHCGSL00132,딸에게 보내는 심리학 편지,한성희 지음,,,한54ㄸ,,180.4,,,9791190538015,,메이븐,2020,,333 p,21 cm,16000,구매
133,LHCGSL00133,딸에게 주는 레시피,공지영 지음,,,공78ㄸ,,814.7,,,9791160405828,,한겨레,2023,,315 p,21 cm,16800,구매
134,LHCGSL00134,딸은 엄마의 감정을 먹고 자란다,박우란 지음,,,박66ㄸ,,186.3,,,9791196997564,,유노라이프,2020,,288 p,22 cm,15000,구매
135,LHCGSL00135,레슨 인 케미스트리.1,보니 가머스 지음,,,가34ㄹ,,843.6,1,,9791130646770,,다산책방,2023,,356 p,20 cm,16800,구매
136,LHCGSL00136,레슨 인 케미스트리.2,보니 가머스 지음,,,가34ㄹ,,843.6,2,,9791130646787,,다산책방(다산북스),2023,,292 p,20 cm,16800,구매
137,LHCGSL00137,"로봇 시대, 인간의 일",구본권 지음,,,구45ㄹ,,331.5412,,,9791190030496,,어크로스,2020,,392 p,22 cm,16800,구매
138,LHCGSL00138,마녀체력,이영미 지음,,,이64ㅁ,,517.3,,,9791185823270,,남해의봄날,2018,,272 p,19 cm,15000,구매
139,LHCGSL00139,마담 보바리,귀스타브 플로베르 지음,,,세14ㅁ,,808,36,,9788937460364,,민음사,2011,,557 p,23 cm,12000,구매
140,LHCGSL00140,마당을 나온 암탉,황선미 지음,,,황54ㅁ,아,813.8,,,9788971968710,,사계절,2012,,200 p,22 cm,12800,구매
141,LHCGSL00141,마음도 번역이 되나요,엘라 프랜시스 샌더스 지음,,,샌24ㅁ,,848,,,9788952775856,,시공사,2016,,120 p,18x20 cm,13800,구매
142,LHCGSL00142,마음사전,김소연 지음,,,김55ㅁ,,818,,,9788960900271,,마음산책,2009,,319 p,20 cm,15000,구매
143,LHCGSL00143,(마음을 사로잡는)초보 공직자의 일머리,방문진 지음,,,방36ㅊ,,325.45,,,9788962452235,,이비락,2024,,341 p,22 cm,18000,구매
144,LHCGSL00144,마음이 흐르는 대로,지나영 지음,,,지192ㅁ,,818,,,9791130632506,,다산북스,2020,,308 p,19 cm,16000,구매
145,LHCGSL00145,마흔에 읽는 니체,장재형 지음,,,장73ㅁ,,165.77,,,9791192300245,,유노북스(유노콘텐츠그룹),2022,,272 p,21 cm,16000,구매
146,LHCGSL00146,(비울수록 사람을 더 채우는)말 그릇,김윤나 지음,,,김66ㅁ,,189.2,,,9791185952987,,카시오페아,2017,,311 p,21 cm,15000,구매
147,LHCGSL00147,말테의 수기,라이너 마리아 릴케 지음,,,세14ㅁ,,808,42,,9788937425370,,민음사,2011,,310 p,23 cm,11000,구매
148,LHCGSL00148,멋진 신세계,올더스 헉슬리 지음,,,헉57ㅁ,,843.5,,,9788973814725,,소담(태일소담),2015,,400 p,19 cm,13800,구매
149,LHCGSL00149,메타버스,김상균 지음,,,김52ㅁ,,321.9,,,9791189580575,,플랜비디자인,2020,,375 p,23 cm,17000,구매
150,LHCGSL00150,명견만리.[1],KBS〈명견만리〉제작진 지음,,,케68ㅁ,,331.544,1,,9791191056594,,인플루엔셜,2021,,332 p,23 cm,15800,구매
151,LHCGSL00151,명견만리.[2],KBS <명견만리> 제작진 지음,,,케68ㅁ,,331.544,2,,9791186560204,,인플루엔셜,2016,,320 p,23 cm,15800,구매
152,LHCGSL00152,명견만리.[3],KBS <명견만리> 제작팀 지음,,,케68ㅁ,,331.544,3,,9791186560976,,인플루엔셜,2019,,314 p,23 cm,15800,구매
153,LHCGSL00153,명견만리.[4],KBS <명견만리> 제작진 지음,,,케68ㅁ,,331.544,4,,9791186560433,,인플루엔셜,2017,,299 p,23 cm,15800,구매
154,LHCGSL00154,명견만리.[5],KBS <명견만리> 제작진 지음,,,케68ㅁ,,331.544,5,,9791186560167,,인플루엔셜,2016,,294 p,23 cm,15800,구매
155,LHCGSL00155,명랑한 은둔자,캐럴라인 냅 지음,,,냅873ㅁ,,848,,,9791189932671,,바다,2020,,343 p,22 cm,16000,구매
156,LHCGSL00156,모든 것은 기본에서 시작한다,손웅정 지음,,,손66ㅁ,,695.404,,,9791190382502,,수오서재,2021,,283 p,21 cm,16000,구매
157,LHCGSL00157,모든 삶은 서툴다,헤르만 헤세 외 지음,,,헤54ㅁ,,808.4,,,9791163400066,,베이직북스,2018,,261 p,19 cm,11800,구매
158,LHCGSL00158,모든 요일의 여행,김민철 지음,,,김38ㅁ,,818,,,9791185459523,,북라이프,2016,,284 p,21 cm,13500,구매
159,LHCGSL00159,모리와 함께한 화요일,미치 앨봄 지음,,,앨45ㅁ,,844,,,9788952236753,,살림,2017,,279 p,20 cm,15000,구매
160,LHCGSL00160,모모,미하엘 엔데 지음,,,엔24ㅁ,,853,,,9788949139999,,비룡소,2024,,428 p,22 cm,22000,구매
161,LHCGSL00161,모순,양귀자 지음,,,양16ㅁ,,813.7,,,9788998441012,,쓰다,2013,,307 p,20 cm,13000,구매
162,LHCGSL00162,못 참는 아이 욱하는 부모,오은영 지음,,,오67ㅁ,,598.1,,,9788997396658,,Korea.com(대성),2016,,343 p,23 cm,16800,구매
163,LHCGSL00163,문재인의 위로,문재인 지음,,,문73ㅁ,,818,,,9791164455676,,더휴먼,2022,,256 p,21 cm,15800,구매
164,LHCGSL00164,문학이란 무엇인가,장폴 사르트르 지음,,,세14ㅁ,,808,9,,9788937460098,,민음사,2011,,444 p,23 cm,12000,구매
165,LHCGSL00165,미드나잇 라이브러리,매트 헤이그 지음,,,헤68ㅁ,,843.6,,,9791191056556,,인플루엔셜,2021,,408 p,21 cm,15800,구매
166,LHCGSL00166,미라클모닝,할 엘로드 지음,,,엘295ㅁ,,325.211,,,9791157847242,,한빛비즈,2024,,416 p,21 cm,19500,구매
167,LHCGSL00167,미생.1,윤태호 지음,,,윤883ㅁ,,818,1,,9788950982379,,북이십일 더오리진,2019,,305 p,20 cm,18000,구매
168,LHCGSL00168,미생.2,윤태호 지음,,,윤883ㅁ,,818,2,,9788950982386,,북이십일 더오리진,2019,,285 p,20 cm,18000,구매
169,LHCGSL00169,미생.3,윤태호 지음,,,윤883ㅁ,,818,3,,9788950982393,,북이십일 더오리진,2019,,263 p,20 cm,18000,구매
170,LHCGSL00170,미생.4,윤태호 지음,,,윤883ㅁ,,818,4,,9788950982409,,북이십일 더오리진,2019,,295 p,20 cm,18000,구매
171,LHCGSL00171,미생.5,윤태호 지음,,,윤883ㅁ,,818,5,,9788950982416,,북이십일 더오리진,2019,,263 p,20 cm,18000,구매
